ID,Area,Priority,Role,Preconditions,Steps,Expected,Status,Evidence
NI-07,Normal Incident Regression,P0,Client,Normal Incident,Try client lifecycle actions used in baseline,Normal Incident client actions behave exactly as before.,NOT RUN,
NI-08,Normal Incident Regression,P0,Admin,Normal Incident subtype has no SUNTEC_SAAS_V23 binding,Call/inspect v23 form-binding lookup for the normal subtype,No v23 binding is returned.,NOT RUN,
NI-09,Normal Incident Regression,P0,Client,Normal unbound Incident,Spoof/edit a v23 hidden marker in browser request,Backend discards/ignores spoofed v23 marker because exact DB type binding is absent.,NOT RUN,
NI-10,Normal Incident Regression,P0,Admin,Normal Incident and SaaS Incident both exist,Compare stored type bindings,Only exact SaaS type documents carry SUNTEC_SAAS_V23; normal Incident records are untouched.,NOT RUN,
SI-01,SaaS Incident Creation,P0,Client,Application Incident is explicitly bound to SUNTEC_SAAS_V23,Create Application Incident; inspect form and submit a valid request,"v23 SaaS form activates only for bound type. Client can set Severity, cannot set Priority. Release ID/Release Type/RCA Category/Root Cause are absent at creation. No subtype-specific extra field required.",NOT RUN,
SI-02,SaaS Incident Creation,P0,Client,Compliance Incident is explicitly bound to SUNTEC_SAAS_V23,Create Compliance Incident; inspect form and submit a valid request,"v23 SaaS form activates only for bound type. Client can set Severity, cannot set Priority. Release ID/Release Type/RCA Category/Root Cause are absent at creation. Test Release field is visible.",NOT RUN,
SI-03,SaaS Incident Creation,P0,Client,Infrastructure Incident is explicitly bound to SUNTEC_SAAS_V23,Create Infrastructure Incident; inspect form and submit a valid request,"v23 SaaS form activates only for bound type. Client can set Severity, cannot set Priority. Release ID/Release Type/RCA Category/Root Cause are absent at creation. No subtype-specific extra field required.",NOT RUN,
SI-04,SaaS Incident Creation,P0,Client,Operational Incident is explicitly bound to SUNTEC_SAAS_V23,Create Operational Incident; inspect form and submit a valid request,"v23 SaaS form activates only for bound type. Client can set Severity, cannot set Priority. Release ID/Release Type/RCA Category/Root Cause are absent at creation. No subtype-specific extra field required.",NOT RUN,
SI-05,SaaS Incident Creation,P0,Client,Security Incident is explicitly bound to SUNTEC_SAAS_V23,Create Security Incident; inspect form and submit a valid request,"v23 SaaS form activates only for bound type. Client can set Severity, cannot set Priority. Release ID/Release Type/RCA Category/Root Cause are absent at creation. Critical Data Involved field is visible.",NOT RUN,
SI-06,SaaS Incident Creation,P1,Client,Bound SaaS Incident form,Open create form when only one product/module/environment option exists,"Option may be preselected, but unnecessary narration such as “automatically selected” is not shown.",NOT RUN,
SI-07,SaaS Incident Creation,P0,Client,Bound SaaS Incident,Inspect actions available immediately after creation,"Client cannot Take Ownership, Assign, Unassign or change support owner.",NOT RUN,
SI-08,SaaS Incident Creation,P0,Client,Bound SaaS Incident,Create with a client-specific environment list,Only environments allowed for that client are selectable.,NOT RUN,
SW-01,SaaS Incident Workflow,P0,Support,SaaS Incident in New,Transition New → Analysis,Request enters Analysis; New is not offered again as a normal working status.,NOT RUN,
SW-02,SaaS Incident Workflow,P0,Support,SaaS Incident in Analysis at L1,Move support L1 → L2,Support level becomes L2 while business status remains Analysis; no reset to New.,NOT RUN,
SW-03,SaaS Incident Workflow,P0,Support,SaaS Incident in Analysis at L2,Move support L2 → L3,Support level becomes L3 while business status remains Analysis; no reset to New.,NOT RUN,
SW-04,SaaS Incident Workflow,P0,Support,SaaS Incident in a working state,Move support backward where configured,Routing preserves/maps the business status according to configured rule; it never manufactures New.,NOT RUN,
SW-05,SaaS Incident Workflow,P0,Support,SaaS Application Incident in Analysis,Use Bank to Verify and return,Application Incident can use Bank to Verify and return to the configured analysis state.,NOT RUN,
SW-06,SaaS Incident Workflow,P1,Support,SaaS non-Application Incident,Inspect available transitions,Bank to Verify is not exposed unless configured for that subtype.,NOT RUN,
SW-07,SaaS Incident Workflow,P1,Support,SaaS Incident in Analysis,Enter Under Monitoring then resume,Returns to the appropriate immediately preceding working status.,NOT RUN,
SW-08,SaaS Incident Workflow,P1,Support,SaaS Incident in Analysis,Enter On Hold then resume,Returns to the appropriate immediately preceding working status.,NOT RUN,
SW-09,SaaS Incident Workflow,P1,Support,SaaS Incident requiring development,Exercise Development → Release → Build/Quality/Stage/Preproduction → Verification Complete,Configured release/test/deployment path is available and valid.,NOT RUN,
SW-10,SaaS Incident Workflow,P0,Support,SaaS Incident reaches a test-failure state,Use Test Failure/Re-Analysis path,"Failure returns to a meaningful analysis/rework state, never to New.",NOT RUN,
SW-11,SaaS Incident Workflow,P1,Support,SaaS Incident in L3 Analysis,Raise Vendor Ticket then continue,Vendor Ticket Raised follows configured return/development/resolution path.,NOT RUN,
SW-12,SaaS Incident Workflow,P0,Support,SaaS Incident at Verification Complete,Verify & Resolve then close,Workflow reaches Verify and Resolve / Closed only through configured transitions.,NOT RUN,
CL-01,Classification / SLA,P0,Support,"SaaS Incident has running SLA, Severity S3 and Priority P4",Change Severity S3 → S1 and Priority P4 → P1,Both changes save and are separately auditable in history.,NOT RUN,
CL-02,Classification / SLA,P0,Support,Same request as CL-01,Compare SLA before/after classification change,"Applicable due/target recalculates, but original SLA startedAt/start timestamp is unchanged.",NOT RUN,
CL-03,Classification / SLA,P0,Client,Existing SaaS Incident,Try to edit Priority,Client cannot edit Priority.,NOT RUN,
CL-04,Classification / SLA,P0,Client,Existing SaaS Incident,Try to edit Severity after creation,Client cannot change post-create Severity unless explicitly configured otherwise; default v23 behavior is read-only.,NOT RUN,
SR-01,SaaS Service Request Forms,P1,Client,Application User Access is explicitly bound to v23,Open Application User Access create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Application Username, Department, Raised Environment, Privileges, Reason, Severity, Department Approval. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-02,SaaS Service Request Forms,P1,Client,AWS User Access is explicitly bound to v23,Open AWS User Access create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: AWS IAM Username, Department, Account No., Raised Environment, Privileges, Reason, Severity, Department Approval. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-03,SaaS Service Request Forms,P1,Client,Bastion Host Access is explicitly bound to v23,Open Bastion Host Access create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Application Username, Department, Raised Environment, Privileges, Reason, Severity. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-04,SaaS Service Request Forms,P1,Client,Business Configuration is explicitly bound to v23,Open Business Configuration create form and inspect required/conditional fields,Configured form is used; expected subtype fields include: Raised Environment and configured common fields. Client Priority is not selectable. On-behalf-of appears only where configured.,NOT RUN,
SR-05,SaaS Service Request Forms,P1,Client,DB Data through CICD Pipeline is explicitly bound to v23,Open DB Data through CICD Pipeline create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Raised Environment, Department Approval, S3 Bucket URL. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-06,SaaS Service Request Forms,P1,Client,Deletion of Application Container Image is explicitly bound to v23,Open Deletion of Application Container Image create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Raised Environment, Reason, Department Approval. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-07,SaaS Service Request Forms,P1,Client,DR Drill / BCP is explicitly bound to v23,Open DR Drill / BCP create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: DR Initiation Date, Targeted DR Switchover Time, DR Drill Period, Department Approval, S3 Bucket URL. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-08,SaaS Service Request Forms,P1,Client,Dynamic Reports for Clients/SunTec is explicitly bound to v23,Open Dynamic Reports for Clients/SunTec create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Raised Environment, Department Approval, S3 Bucket URL. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-09,SaaS Service Request Forms,P1,Client,Email Creation is explicitly bound to v23,Open Email Creation create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Privileges, Reason, Department Approval. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-10,SaaS Service Request Forms,P1,Client,Federated Access is explicitly bound to v23,Open Federated Access create form and inspect required/conditional fields,"Configured form is used; expected subtype fields include: Raised Environment, Severity, Department Approval. Client Priority is not selectable. On-behalf-of appears only where configured.",NOT RUN,
SR-11,SaaS Service Request Workflow,P0,Support/Approver,Access request created,Move through Pending Approval → Access Approved; then update/revoke,"Access workflow supports approval, update and revoke lifecycle; rejection path works.",NOT RUN,
SR-12,SaaS Service Request Workflow,P1,Support,Generic service request created,Run generic SR path,Generic SR uses generic workflow rather than the giant DR/PITR workflow.,NOT RUN,
SR-13,SaaS Service Request Workflow,P1,Support,DR/BCP request created,"Exercise switch to DR, reverse sync, primary switchback, BCP report",DR/BCP request uses its dedicated operational workflow and linked-request actions where configured.,NOT RUN,
SR-14,SaaS Service Request Workflow,P1,Support,PITR request created,Exercise PITR analysis → pre-check → drill → validate restored DB → enable infra → validations → rollback → report,PITR request uses dedicated PITR workflow through completion/reporting.,NOT RUN,
SR-15,SaaS Service Request Workflow,P0,Client/Support,Marked SaaS Service Request,Inspect SLA presentation/behavior,SLA is not treated as applicable for v23 SaaS Service Requests.,NOT RUN,
PB-01,Problem Workflow,P1,Support,Problem created,Open → Under Review → Under Investigation → Completed → Closed,Core Problem lifecycle works.,NOT RUN,
PB-02,Problem Workflow,P1,Support,Problem in Under Investigation,"Move to Pending, then Investigate / Back to Under Review",Pending and configured backward paths work.,NOT RUN,
PB-03,Problem Workflow,P1,Support,Problem in Completed,Use Back to work in progress,Returns to Under Investigation as configured.,NOT RUN,
PB-04,Problem Workflow,P1,Support,Active Problem,Cancel then Close,Cancellation/closure path works.,NOT RUN,
CH-01,Change Workflow,P1,Support,Change created,New → Analysis → Requirement Analysis → Product/Custom,Initial classification/requirement path works.,NOT RUN,
CH-02,Change Workflow,P1,Support/Approver,Change in grooming/approval path,Exercise Bank approval and rejection/rework,Approval/rejection returns to configured requirement/rework status.,NOT RUN,
CH-03,Change Workflow,P1,Support/Approver,Change requiring management approval,Exercise Management approval and rejection,Management approval gate works and rejection returns to rework as configured.,NOT RUN,
CH-04,Change Workflow,P1,Support,Approved Change,Development → Release → Build/Quality/Stage/Preproduction → Verification,Build/test/release lifecycle works; test failure returns to reanalysis.,NOT RUN,
CH-05,Change Workflow,P1,Support,Change test failure requires Incident,Use Create Incident action,A linked Incident is created/related without corrupting the Change lifecycle.,NOT RUN,
MR-01,Maintenance Workflow,P1,Support/Approver,Maintenance created,New → Analysis → Approve / Reject; reopen rejected,"Approval, rejection and reopen paths work.",NOT RUN,
MR-02,Maintenance Workflow,P1,Support,Approved maintenance,Exercise Snapshot Revert path,Snapshot Revert follows configured completion/cancel path.,NOT RUN,
MR-03,Maintenance Workflow,P1,Support,Approved maintenance,Switch to DR → reverse sync → switchback to Primary → reverse sync to DR,Operational DR/Primary state machine works.,NOT RUN,
MR-04,Maintenance Workflow,P1,Support,Maintenance reaches reporting stage,BCP Report Preparation → Publish BCP Report → Closed,BCP reporting closes through configured path.,NOT RUN,
MR-05,Maintenance Workflow,P1,Support,Completed Maintenance,Publish VA/PT report and create Problem where applicable,VA/PT report and linked Problem actions work without losing the maintenance context.,NOT RUN,
MR-06,Maintenance Workflow,P1,Support,Operational maintenance state,Create linked Incident/Problem/Service Request,Linked request is created and maintenance can continue from configured return point.,NOT RUN,
AP-01,Approval Engine,P1,Approver,Marked SaaS request requiring approval,Approve request,Approval status becomes Approved; actor/time/comment are audited.,NOT RUN,
AP-02,Approval Engine,P1,Approver,Marked SaaS request requiring approval,Reject request,Approval status becomes Rejected and workflow follows configured rejection path.,NOT RUN,
AP-03,Approval Engine,P0,Client,Marked SaaS request requiring approval,Attempt approval API/action as Client,Client approval attempt is denied unless explicitly authorized by configuration.,NOT RUN,
VS-01,Visibility,P1,Support/Manager,Marked SaaS request,Expand request visibility to another allowed team/user,Visibility change succeeds and is audited.,NOT RUN,
VS-02,Visibility,P0,Client,Marked SaaS request,Attempt support-only visibility expansion,Action is denied.,NOT RUN,
AU-01,Audit / History,P1,Support,Marked SaaS request with multiple actions,"Perform status change, support move, classification change, approval","History contains distinct, intelligible entries for each action.",NOT RUN,
AU-02,Audit / History,P1,Support,Marked SaaS request,Create linked Incident/Problem/SR,History records linked-request creation and relationship.,NOT RUN,
SC-01,Security / Isolation,P0,Admin,Normal and SaaS types share display names,Review exact type bindings after DB apply,Only approved collection:id rows are stamped with SUNTEC_SAAS_V23.,NOT RUN,
SC-02,Security / Isolation,P0,Admin,Dry-run output available,Run apply using only a subset of reviewed bindings,Only explicitly approved rows are bound; other ambiguous same-name rows remain untouched.,NOT RUN,
